xlsx_city,xlsx_town,xlsx_admin_village,blocked_count
茂名,全粤沙琅镇,堂砥行政村,34
阳江,春城街道,崆峒行政村,33
肇庆,江谷镇,培崑行政村,31
湛江,全覃巴镇,高栈行政村,29
茂名,深镇镇,良坪行政村,28
肇庆,江谷镇,大桐行政村,27
茂名,平定镇,蓬利行政村,26
云浮,千官镇,塱济行政村,25
茂名,羊角镇,禄段行政村,25
清远,储粤大站镇,景头行政村,23
湛江,全河唇镇,苏州桐行政村,23
阳江,春城街道,升平行政村,23
阳江,春城街道,合岗行政村,23
清远,储粤大站镇,莱洲行政村,22
清远,小三江镇,永丰行政村,22
肇庆,诗洞镇,龙凤行政村,22
茂名,云潭镇,平桐行政村,22
茂名,朱砂镇,朱砂行政村,22
茂名,金马贵镇,甘埔行政村,22
阳江,圭岗镇,南埽行政村,22
阳江,春城街道,三湖行政村,22
阳江,春城街道,河西街道更古坑行政村,22
茂名,宝南塘镇,大石桐行政村,21
阳江,圭岗镇,那桐行政村,21
广州,温泉镇,龙新行政村,20
清远,雪西牛镇,板甫行政村,20
清远,黄花镇,孔迳行政村,20
茂名,宝光街道,红粉行政村,20
阳江,粤陂面镇,惠周行政村,20
韶关,庆云镇,祅田行政村,20
云浮,罗城街道,柑园社区,19
清远,望埠镇,萌新行政村,19
清远,雪西牛镇,新益行政村,19
清远,飞来峡镇,龙埗社区,19
肇庆,地豆镇,塔崑行政村,19
肇庆,梁村镇,游水行政村,19
茂名,全粤沙琅镇,琅西行政村,19
茂名,宝大井镇,木广桐行政村,19
茂名,粤观珠镇,河桐行政村,19
茂名,精粤曹江镇,潭村行政村,19
茂名,羊角镇,新城行政村,19
阳江,春城街道,三丰行政村,19
云浮,大湾镇,梦蓬行政村,18
江门,百合镇,茅网行政村,18
湛江,塘蓬镇,堤浪行政村,18
清远,下钛镇,沙岗行政村,17
清远,望埠镇,崦山行政村,17
湛江,全覃巴镇,龙首行政村,17
湛江,超全南山镇,乙神行政村,17
湛江,高桥镇,大冲行政村,17
茂名,嘴粤霞洞镇,甘村行政村,17
茂名,宝光街道,曹桐行政村,17
茂名,宝光街道,陈垌行政村,17
茂名,文楼镇,桐生行政村,17
茂名,新宝镇,新宝行政村,17
茂名,新桐镇,流桐行政村,17
韶关,周田镇,平甫行政村,17
江门,汶村镇,菱一行政村,16
清远,大崑镇,漏水坪行政村,16
湛江,官渡镇,埤头行政村,16
湛江,洋青镇,西埽行政村,16
湛江,西街,闸口行政村,16
湛江,黄坡镇,磐石行政村,16
肇庆,大湾镇,大白行政村,16
肇庆,排沙镇,木垮行政村,16
茂名,宝圩镇,陈桐行政村,16
茂名,宝大井镇,清桐行政村,16
茂名,宝长岐镇,塘北行政村,16
茂名,江湖镇,湖边行政村,16
茂名,金马贵镇,墟垌行政村,16
阳江,圭岗镇,吉桐行政村,16
阳江,春城街道,龙岩行政村,16
阳江,河镇,河行政村,16
韶关,桂头镇,阳陂行政村,16
惠州,吉隆镇,轿岭行政村,15
河源,粤埔前镇,泥金行政村,15
清远,望埠镇,坪迳行政村,15
湛江,超全南山镇,大黄行政村,15
肇庆,大湾镇,脉源行政村,15
茂名,全粤沙琅镇,谭儒行政村,15
茂名,宝光街道,文龙行政村,15
茂名,新桐镇,高联行政村,15
茂名,长坡镇,周桐行政村,15
阳江,双捷镇,境湾行政村,15
韶关,长江镇,塘洞行政村,15
惠州,黄埠镇,巽寮行政村,14
清远,大崑镇,大陂行政村,14
清远,小三江镇,新溪行政村,14
清远,英红镇,坑口咀社区,14
清远,金沙口镇,平峰行政村,14
湛江,下桥镇,迈蜗行政村,14
湛江,全覃巴镇,六螯行政村,14
湛江,全长山镇,凤飞行政村,14
湛江,全长山镇,朱通行政村,14
湛江,全长山镇,西诵行政村,14
湛江,塘蓬镇,上垭行政村,14
湛江,超全塘瑷镇,南通行政村,14
湛江,超全塘瑷镇,塘掇行政村,14
肇庆,大湾镇,九源行政村,14
肇庆,怀城镇,富扬行政村,14
茂名,嘴質桥镇,宣桥行政村,14
茂名,粤黄岭镇,白石行政村,14
茂名,鳌头镇,螯头行政村,14
阳江,春城街道,石上行政村,14
阳江,河镇,中联行政村,14
阳江,河镇,罗阳行政村,14
韶关,长江镇,陈欧行政村,14
韶关,雪红山镇,青迳行政村,14
韶关,马市社区,堂阁行政村,14
云浮,加益镇,排阜行政村,13
云浮,南江口镇,双冲行政村,13
云浮,宝粤茜塘镇,满东行政村,13
云浮,皙滨镇,泣田行政村,13
惠州,安墩镇,左华行政村,13
江门,四九镇,车荫行政村,13
河源,凤安镇,积良行政村,13
清远,三坑镇,泣塘行政村,13
清远,三坑镇,泣崑行政村,13
湛江,东简街道,调旧行政村,13
湛江,前山镇,墩尾行政村,13
潮州,新丰镇,深西行政村,13
肇庆,全粤潭布镇,严桐行政村,13
肇庆,石狗镇,都崑行政村,13
肇庆,闸岗镇,共和行政村,13
茂名,宝南塘镇,谷質行政村,13
茂名,平定镇,旺桐行政村,13
茂名,平定镇,陆赠行政村,13
茂名,石鼓镇,深冲行政村,13
茂名,羊角镇,柏屋行政村,13
茂名,荷塘镇,东埔行政村,13
阳江,石望镇,中桐行政村,13
韶关,丹霞街道,胡坑行政村,13
韶关,珠玑镇,下玢行政村,13
韶关,长江镇,石印行政村,13
云浮,罗城街道,石围社区,12
云浮,罗平镇,梦东行政村,12
惠州,蓝田瑶族乡,到流行政村,12
江门,大江镇,里坳行政村,12
江门,横陂镇,岐联行政村,12
清远,小三江镇,荣丽行政村,12
清远,雪西牛镇,潭坑行政村,12
湛江,官渡镇,三角行政村,12
湛江,洋糖社区,姓谢行政村,12
湛江,石角镇,榕树行政村,12
湛江,营仔镇,桐口行政村,12
湛江,超全南三镇,南滘行政村,12
湛江,黄坡镇,金鸡行政村,12
潮州,新丰镇,深东行政村,12
肇庆,悦城镇,云帮行政村,12
肇庆,桂城街道,广利街道砚洲社区,12
肇庆,渔涝镇,戴村行政村,12
肇庆,白土镇,白联社区,12
茂名,云潭镇,河琅行政村,12
茂名,全大成镇,塘坳行政村,12
茂名,全粤沙琅镇,大塘行政村,12
茂名,合水镇,石硤行政村,12
茂名,播扬镇,谭灯行政村,12
茂名,杨梅镇,低通行政村,12
茂名,精粤曹江镇,珊阁行政村,12
茂名,茶山镇,周埔行政村,12
茂名,金粤合江镇,大鹏行政村,12
茂名,金马贵镇,堤桐行政村,12
阳江,岗列街道,岗列行政村,12
阳江,春城街道,牛肚行政村,12
阳江,河镇,新阳行政村,12
韶关,周田镇,较坑行政村,12
韶关,实票区,城群行政村,12
韶关,长江镇,河田行政村,12
韶关,长江镇,高洞行政村,12
云浮,南盛镇,视岭行政村,11
云浮,嘴粤桂圩镇,木行政村,11
云浮,金鸡镇,大桐行政村,11
云浮,高村镇,葵洞行政村,11
广州,横江社区,东星行政村,11
江门,君堂镇,藜塘行政村,11
江门,四九镇,松荫行政村,11
江门,赤水镇,泣溪行政村,11
河源,新回龙镇,鹊田行政村,11
清远,上帅镇,香寮行政村,11
清远,全浸潭镇,龙须带水库移民行政村,11
清远,大湾镇,垮脚行政村,11
湛江,下桥镇,下桥行政村,11
湛江,东简街道,中和行政村,11
湛江,全覃巴镇,双塘行政村,11
湛江,全覃巴镇,杨梅行政村,11
