xlsx_row_number,xlsx_city,xlsx_town,xlsx_admin_village,xlsx_natural_village,matched_db_city,matched_db_town,matched_db_admin_village,matched_db_admin_village_candidates,candidate_count,candidates,suggested_candidates,blocked_reason_guess
34687,东莞,专常平镇,下墟行政村,常平下墟村,东莞市,常平镇,,,0,,,admin_unmatched_or_ambiguous
33920,东莞,大朗镇,佛新社区,佛新村,东莞市,大朗镇,,,0,,,admin_unmatched_or_ambiguous
33916,东莞,大朗镇,宝陂行政村,宝陂村,东莞市,大朗镇,,,0,,,admin_unmatched_or_ambiguous
33937,东莞,大朗镇,屏山社区,屏山村,东莞市,大朗镇,,,0,,,admin_unmatched_or_ambiguous
34885,东莞,樟木头镇,金河社区,上南村,东莞市,樟木头镇,,,0,,,admin_unmatched_or_ambiguous
34886,东莞,樟木头镇,金河社区,下南村,东莞市,樟木头镇,,,0,,,admin_unmatched_or_ambiguous
34882,东莞,樟木头镇,金河社区,古坑村,东莞市,樟木头镇,,,0,,,admin_unmatched_or_ambiguous
34883,东莞,樟木头镇,金河社区,坭坑村,东莞市,樟木头镇,,,0,,,admin_unmatched_or_ambiguous
34884,东莞,樟木头镇,金河社区,大坑村,东莞市,樟木头镇,,,0,,,admin_unmatched_or_ambiguous
34881,东莞,樟木头镇,金河社区,沙元村,东莞市,樟木头镇,,,0,,,admin_unmatched_or_ambiguous
34170,东莞,清溪镇,厦堤行政村,企岭下村,东莞市,清溪镇,,,0,,,admin_unmatched_or_ambiguous
34169,东莞,清溪镇,厦堤行政村,江背村,东莞市,清溪镇,,,0,,,admin_unmatched_or_ambiguous
34168,东莞,清溪镇,厦堤行政村,磨妮圩村,东莞市,清溪镇,,,0,,,admin_unmatched_or_ambiguous
34171,东莞,清溪镇,厦堤行政村,郑围村,东莞市,清溪镇,,,0,,,admin_unmatched_or_ambiguous
33774,东莞,莞城街道,兴塘社区,南城村,东莞市,莞城街道,,,0,,,admin_unmatched_or_ambiguous
33772,东莞,莞城街道,兴塘社区,白沙塘村,东莞市,莞城街道,,,0,,,admin_unmatched_or_ambiguous
33773,东莞,莞城街道,兴塘社区,誠船澳村,东莞市,莞城街道,,,0,,,admin_unmatched_or_ambiguous
33776,东莞,莞城街道,创业社区,戴屋庄村,东莞市,莞城街道,,,0,,,admin_unmatched_or_ambiguous
33777,东莞,莞城街道,西隅社区,花闸门村,东莞市,莞城街道,,,0,,,admin_unmatched_or_ambiguous
34267,东莞,高埗镇,洗沙行政村,德政坊,东莞市,高埗镇,,,0,,,admin_unmatched_or_ambiguous
34266,东莞,高埗镇,洗沙行政村,德耀坊村,东莞市,高埗镇,,,0,,,admin_unmatched_or_ambiguous
34269,东莞,高埗镇,洗沙行政村,通渠坊,东莞市,高埗镇,,,0,,,admin_unmatched_or_ambiguous
34268,东莞,高埗镇,洗沙行政村,高桥坊,东莞市,高埗镇,,,0,,,admin_unmatched_or_ambiguous
34218,东莞,魔宝石排镇,黄家學行政村,黄家學村,东莞市,石排镇,,,0,,,admin_unmatched_or_ambiguous
35604,中山,东凤镇,东兴社区,乐华村,中山市,东凤镇,,,0,,,admin_unmatched_or_ambiguous
35607,中山,东凤镇,东兴社区,永安村,中山市,东凤镇,,,0,,,admin_unmatched_or_ambiguous
35605,中山,东凤镇,东兴社区,清华村,中山市,东凤镇,,,0,,,admin_unmatched_or_ambiguous
35606,中山,东凤镇,东兴社区,镇安村,中山市,东凤镇,,,0,,,admin_unmatched_or_ambiguous
35307,中山,东区街道,桃苑社区,土瓜岭村,中山市,东区街道,,,0,,,admin_unmatched_or_ambiguous
35306,中山,东区街道,起湾社区,起湾村,中山市,东区街道,,,0,,,admin_unmatched_or_ambiguous
35336,中山,南区街道,良都社区,上塘村,中山市,南区街道,,,0,,,admin_unmatched_or_ambiguous
35337,中山,南区街道,良都社区,恒美村,中山市,南区街道,,,0,,,admin_unmatched_or_ambiguous
35335,中山,南区街道,良都社区,沙涌村,中山市,南区街道,,,0,,,admin_unmatched_or_ambiguous
35333,中山,南区街道,良都社区,竹秀园村,中山市,南区街道,,,0,,,admin_unmatched_or_ambiguous
35334,中山,南区街道,良都社区,长溪村,中山市,南区街道,,,0,,,admin_unmatched_or_ambiguous
35164,中山,南朗镇,涌口行政村,冲口村,中山市,南朗镇,,,0,,,admin_unmatched_or_ambiguous
35165,中山,南朗镇,涌口行政村,冲口门上栏村,中山市,南朗镇,,,0,,,admin_unmatched_or_ambiguous
35166,中山,南朗镇,涌口行政村,大埔环村,中山市,南朗镇,,,0,,,admin_unmatched_or_ambiguous
35485,中山,古镇镇,古四行政村,古四村,中山市,古镇镇,,,0,,,admin_unmatched_or_ambiguous
35416,中山,大涌镇,乌石行政村,乌石村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35411,中山,大涌镇,全禄社区,全禄村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35431,中山,大涌镇,前陇社区,前陇村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35432,中山,大涌镇,前陇社区,美溪新村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35433,中山,大涌镇,前陇社区,美溪村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35430,中山,大涌镇,南龙社区,南坑村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35429,中山,大涌镇,南龙社区,龙井村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35412,中山,大涌镇,叠石行政村,叠石村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35423,中山,大涌镇,古鹤行政村,古鹤村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35415,中山,大涌镇,圩仔社区,圩仔村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35434,中山,大涌镇,塘敢行政村,外塘敢村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35436,中山,大涌镇,塘敢行政村,肖家村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35435,中山,大涌镇,塘敢行政村,里塘敢村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35426,中山,大涌镇,大布行政村,大布新村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35428,中山,大涌镇,大布行政村,平湖村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35427,中山,大涌镇,大布行政村,沙岗村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35405,中山,大涌镇,大涌社区,大涌村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35407,中山,大涌镇,安堂社区,安堂村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35418,中山,大涌镇,岗泉行政村,泉眼村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35419,中山,大涌镇,岗泉行政村,鸦岗村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35425,中山,大涌镇,平南行政村,平南村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35424,中山,大涌镇,平岚东行政村,平东村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35420,中山,大涌镇,新圩行政村,新圩村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35417,中山,大涌镇,桥头行政村,桥头村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35410,中山,大涌镇,石井社区,石井村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
35421,中山,大涌镇,芋湾行政村,茅湾村,中山市,大涌镇,,,0,,,admin_unmatched_or_ambiguous
