xlsx_city,xlsx_town,blocked_count
阳江,春城街道,184
韶关,丹霞街道,183
河源,紫城镇,178
河源,全曾田镇,152
韶关,长江镇,144
湛江,全长山镇,131
阳江,河镇,117
湛江,全覃巴镇,107
清远,雪西牛镇,106
肇庆,大湾镇,106
韶关,周田镇,104
湛江,超全南山镇,103
茂名,宝光街道,103
湛江,唐家镇,89
湛江,西街,88
湛江,黄坡镇,88
清远,大崑镇,82
清远,小三江镇,82
茂名,全粤沙琅镇,80
梅州,宝水寨镇,77
惠州,黄埠镇,75
湛江,东简街道,71
湛江,前山镇,70
肇庆,黄岗街道,70
云浮,罗城街道,69
肇庆,江谷镇,69
韶关,雪红山镇,63
韶关,扶溪镇,61
阳江,圭岗镇,59
茂名,羊角镇,57
河源,凤安镇,56
茂名,金马贵镇,56
清远,望埠镇,53
湛江,超全塘瑷镇,53
茂名,平定镇,52
韶关,秀水镇,51
肇庆,桂城街道,48
河源,新回龙镇,46
清远,储粤大站镇,45
茂名,新坡镇,44
潮州,归湖镇,43
茂名,新桐镇,43
云浮,宝粤茜塘镇,42
湛江,官渡镇,41
湛江,洋糖社区,40
茂名,潘州街道,40
梅州,叶塘社区,39
清远,下钛镇,39
茂名,宝圩镇,38
江门,四九镇,37
肇庆,诗洞镇,37
湛江,塘蓬镇,36
清远,山塘镇,35
茂名,全大成镇,35
茂名,宝大井镇,35
清远,英红镇,34
湛江,石角镇,34
茂名,云潭镇,34
茂名,嘴質桥镇,34
茂名,宝南塘镇,34
茂名,金粤合江镇,33
茂名,鳌头镇,33
云浮,云城街道,32
湛江,西连镇,32
中山,大涌镇,31
湛江,洋青镇,31
茂名,精粤曹江镇,31
湛江,全河唇镇,30
茂名,大坡镇,30
阳江,岗列街道,30
云浮,罗平镇,29
茂名,朱砂镇,29
茂名,石鼓镇,29
茂名,荷塘镇,29
湛江,津前社区,28
茂名,深镇镇,28
清远,粤石潭镇,27
清远,飞来峡镇,27
韶关,珠玑镇,27
韶关,粤石塘镇,27
惠州,陈江街道,26
梅州,全光德镇,26
清远,三坑镇,26
茂名,长坡镇,26
云浮,千官镇,25
云浮,大湾镇,25
广州,温泉镇,25
江门,百合镇,25
湛江,下桥镇,25
潮州,新丰镇,25
茂名,江湖镇,25
茂名,粤观珠镇,25
阳江,岗美镇,25
汕尾,联安镇,24
江门,君堂镇,24
肇庆,南街镇,24
茂名,粤黄岭镇,24
韶关,实票区,24
梅州,径南社区,23
茂名,宝长岐镇,23
韶关,闻韶镇,23
惠州,平海镇,22
清远,全龙塘镇,22
湛江,全长岐镇,22
肇庆,坳仔镇,22
肇庆,梁村镇,22
茂名,袂花镇,22
云浮,南盛镇,20
云浮,嘴粤桂圩镇,20
清远,黄花镇,20
湛江,超全南三镇,20
茂名,新宝镇,20
茂名,罐粤那务镇,20
阳江,粤陂面镇,20
韶关,庆云镇,20
汕尾,博美社区,19
江门,横陂镇,19
清远,全浸潭镇,19
肇庆,全粤潭布镇,19
肇庆,南丰镇,19
肇庆,地豆镇,19
茂名,雪北界镇,19
阳江,城北街道,19
汕尾,粤新田镇,18
肇庆,河儿口镇,18
肇庆,渔涝镇,18
茂名,合水镇,18
茂名,林尘镇,18
韶关,雪西河镇,18
江门,恩城街道,17
湛江,高桥镇,17
潮州,凤凰镇,17
肇庆,怀城镇,17
茂名,东岸镇,17
茂名,嘴粤霞洞镇,17
茂名,文楼镇,17
惠州,吉隆镇,16
惠州,蓝田瑶族乡,16
江门,大江镇,16
江门,汶村镇,16
清远,金沙口镇,16
湛江,白沙社区,16
肇庆,排沙镇,16
阳江,双捷镇,16
韶关,桂头镇,16
云浮,加益镇,15
汕头,隆都镇,15
汕尾,水唇镇,15
河源,忠信镇,15
河源,粤埔前镇,15
肇庆,中洲镇,15
肇庆,大岗镇,15
肇庆,官圩镇,15
阳江,河口镇,15
韶关,城口镇,15
惠州,安墩镇,14
惠州,宝多祝镇,14
梅州,全西阳镇,14
汕尾,公平镇,14
河源,超全粤叶潭镇,14
肇庆,白土镇,14
茂名,金精粤石板镇,14
韶关,石角社区,14
韶关,马市社区,14
云浮,南江口镇,13
云浮,围底镇,13
云浮,皙滨镇,13
广州,横江社区,13
清远,大路边镇,13
潮州,浮滨镇,13
肇庆,石狗镇,13
肇庆,闸岗镇,13
茂名,东山街道,13
阳江,石望镇,13
云浮,都城镇,12
云浮,金鸡镇,12
广州,景泰街道,12
江门,江南街道,12
江门,白沙街道,12
湛江,营仔镇,12
湛江,超宝良桐镇,12
肇庆,悦城镇,12
茂名,山阁镇,12
茂名,播扬镇,12
茂名,杨梅镇,12
茂名,茶山镇,12
云浮,船步镇,11
云浮,高村镇,11
梅州,湖寮镇,11
江门,苍城镇,11
江门,赤水镇,11
河源,全粤蓝口镇,11
清远,上帅镇,11
清远,大湾镇,11
潮州,宝黄冈镇,11
潮州,饶洋镇,11
肇庆,下茆镇,11
肇庆,大沙镇,11
茂名,新安镇,11
阳江,双滘镇,11
阳江,闸坡镇,11
阳江,马水镇,11
韶关,古市镇,11
云浮,分界镇,10
云浮,连州镇,10
广州,钟落潭镇,10
惠州,龙潭镇,10
汕尾,东坑镇,10
汕尾,大安镇,10
汕尾,第三社区,10
江门,潮连街道,10
清远,龙颈镇,10
湛江,乌塘镇,10
肇庆,凤岗镇,10
肇庆,城西街道,10
肇庆,水南镇,10
肇庆,洽水镇,10
肇庆,赤坑镇,10
茂名,七迳镇,10
茂名,全镇江镇,10
茂名,城南街道,10
阳江,合水镇,10
韶关,乌石镇,10
韶关,周陂镇,10
韶关,水口镇,10
广州,街口街,9
惠州,罗阳镇,9
梅州,大坪镇,9
梅州,潭江镇,9
梅州,粤龙村镇,9
梅州,西河镇,9
汕头,苏林社区,9
湛江,下六圩社区,9
肇庆,横山镇,9
肇庆,河台镇,9
肇庆,都平镇,9
茂名,良光镇,9
韶关,梅花镇,9
韶关,樟市镇,9
韶关,界址镇,9
云浮,历洞镇,8
惠州,包高潭镇,8
惠州,龙江镇,8
梅州,全转水镇,8
梅州,小胜镇,8
汕尾,金海社区,8
江门,三埠街道,8
江门,川岛镇,8
湛江,草潭社区,8
潮州,上饶镇,8
肇庆,城东街道,8
阳江,品松柏镇,8
韶关,坪田镇,8
韶关,新韶镇,8
云浮,素龙街道,7
惠州,石坝镇,7
惠州,铁涌镇,7
梅州,潭下镇,7
梅州,超全岐岭镇,7
汕头,仙门城社区,7
汕尾,城东镇,7
汕尾,新民小区,7
汕尾,赤坑镇,7
江门,塘口镇,7
河源,大湖镇,7
河源,粤蓝塘镇,7
清远,九陂镇,7
清远,杨梅镇,7
清远,汤塘镇,7
清远,禾云镇,7
清远,连州镇,7
湛江,振文镇,7
湛江,木棉社区,7
湛江,石岭镇,7
湛江,石颈镇,7
湛江,超全吴阳镇,7
肇庆,永安镇,7
肇庆,罗董镇,7
肇庆,莲都镇,7
肇庆,金利镇,7
茂名,全钱排镇,7
茂名,岭门镇,7
茂名,思贺镇,7
茂名,站前街道,7
茂名,荷花镇,7
阳江,潭水镇,7
韶关,东升社区,7
韶关,城南社区,7
韶关,大桥镇,7
东莞,樟木头镇,6
云浮,前锋镇,6
云浮,富林镇,6
云浮,建城镇,6
惠州,湖镇镇,6
惠州,秋长街道,6
汕头,义英社区,6
汕尾,上护镇,6
汕尾,东洲街道,6
汕尾,碣石镇,6
江门,双水镇,6
河源,半江镇,6
湛江,全粤雷高镇,6
湛江,城月镇,6
