dialect_raw,raw_count,matched_rowid_count,suggestion_type,suggested_final_write_value,suggested_final_count,family_mix,subgroup_mix,clean_confidence_mix,candidate_final_values
客家方言,21906,15424,stable_single_mapping,客家,21906,客家::21906,,high::21906,客家::21906
粤方言,14751,10827,stable_single_mapping,粤,14751,粤::14751,,high::14751,粤::14751
粤方言四邑话,2103,1810,stable_single_mapping,粤·四邑话,2103,粤::2103,四邑话::2103,high::2103,粤·四邑话::2103
雷州话,2013,1554,stable_single_mapping,闽·雷州话,2013,闽::2013,雷州话::2013,high::2013,闽·雷州话::2013
粤方言台山话,1612,1371,stable_single_mapping,粤·台山话,1612,粤::1612,台山话::1612,high::1612,粤·台山话::1612
粤方言阳春白话,1580,1091,stable_single_mapping,粤·阳春白话,1580,粤::1580,阳春白话::1580,high::1580,粤·阳春白话::1580
闽方言,1558,1174,stable_single_mapping,闽,1558,闽::1558,,high::1558,闽::1558
粤方言（广府民系）,1452,1108,stable_single_mapping,粤,1452,粤::1452,,medium::1452,粤::1452
粤方言恩平话,1177,1030,stable_single_mapping,粤·恩平话,1177,粤::1177,恩平话::1177,high::1177,粤·恩平话::1177
粤方言吴川话,1123,729,stable_single_mapping,粤·吴川话,1123,粤::1123,吴川话::1123,high::1123,粤·吴川话::1123
粤方言广宁话,1099,796,stable_single_mapping,粤·广宁话,1099,粤::1099,广宁话::1099,high::1099,粤·广宁话::1099
粤方言清远白话,945,689,stable_single_mapping,粤·清远白话,945,粤::945,清远白话::945,high::945,粤·清远白话::945
粤方言化州白话,769,530,stable_single_mapping,粤·化州白话,769,粤::769,化州白话::769,high::769,粤·化州白话::769
粤方言德庆话,696,604,stable_single_mapping,粤·德庆话,696,粤::696,德庆话::696,high::696,粤·德庆话::696
闽方言电白黎话,683,602,stable_single_mapping,闽·电白黎话,683,闽::683,电白黎话::683,high::683,闽·电白黎话::683
使用客家方言,566,435,stable_single_mapping,客家,566,客家::566,,medium::566,客家::566
粤语开建话,511,390,stable_single_mapping,粤·开建话,511,粤::511,开建话::511,high::511,粤·开建话::511
客家方言始兴话,508,394,stable_single_mapping,客家·始兴话,508,客家::508,始兴话::508,high::508,客家·始兴话::508
台山话,473,410,stable_single_mapping,粤·台山话,473,粤::473,台山话::473,high::473,粤·台山话::473
闽南方言潮州话,471,357,stable_single_mapping,闽·潮汕话,471,闽::471,潮汕话::471,high::471,闽·潮汕话::471
粤方言封川话,443,346,stable_single_mapping,粤·封川话,443,粤::443,封川话::443,high::443,粤·封川话::443
闽方言潮汕话,443,327,stable_single_mapping,闽·潮汕话,443,闽::443,潮汕话::443,high::443,闽·潮汕话::443
粤方言高州话,429,251,stable_single_mapping,粤·高州话,429,粤::429,高州话::429,high::429,粤·高州话::429
粤方言沙田话,400,260,stable_single_mapping,粤·沙田话,400,粤::400,沙田话::400,high::400,粤·沙田话::400
通用台山话,398,340,stable_single_mapping,粤·台山话,398,粤::398,台山话::398,medium::398,粤·台山话::398
粤方言怀集下坊话,382,257,stable_single_mapping,粤·怀集下坊话,382,粤::382,怀集下坊话::382,high::382,粤·怀集下坊话::382
通用雷州话,375,283,stable_single_mapping,闽·雷州话,375,闽::375,雷州话::375,medium::375,闽·雷州话::375
通用粤方言,349,238,stable_single_mapping,粤,349,粤::349,,medium::349,粤::349
粤方言高阳片阳江话,328,228,stable_single_mapping,粤·阳江话,328,粤::328,阳江话::328,high::328,粤·阳江话::328
粤方言怀集上坊话,303,223,stable_single_mapping,粤·怀集上坊话,303,粤::303,怀集上坊话::303,high::303,粤·怀集上坊话::303
客家方言阳春倔话,302,261,stable_single_mapping,客家·阳春涯话,302,客家::302,阳春涯话::302,high::302,客家·阳春涯话::302
粤语封川话,284,192,stable_single_mapping,粤·封川话,284,粤::284,封川话::284,high::284,粤·封川话::284
粤方言蛇声,279,187,stable_single_mapping,粤·蛇声,279,粤::279,蛇声::279,medium::279,粤·蛇声::279
客家话,273,211,stable_single_mapping,客家,273,客家::273,,high::273,客家::273
客家方言涯话,272,210,stable_single_mapping,客家·涯话,272,客家::272,涯话::272,high::272,客家·涯话::272
电白海话,264,235,stable_single_mapping,闽·电白海话,264,闽::264,电白海话::264,high::264,闽·电白海话::264
潮州话,258,195,stable_single_mapping,闽·潮汕话,258,闽::258,潮汕话::258,high::258,闽·潮汕话::258
粤方言阳江话,258,205,stable_single_mapping,粤·阳江话,258,粤::258,阳江话::258,high::258,粤·阳江话::258
通用客家方言,258,202,stable_single_mapping,客家,258,客家::258,,medium::258,客家::258
闽方言电白海话,257,233,stable_single_mapping,闽·电白海话,257,闽::257,电白海话::257,high::257,闽·电白海话::257
客家方言和粤方言,241,171,stable_single_mapping,粤、客家,241,混合::241,,medium::241,粤、客家::241
